               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12664,            0.049533,            0.052295,                   0,                   0,                   0,                   0,             0.12834,            0.047555,            0.053898,              0.0955,              0.0005,              0.0005
                   1,             0.12543,            0.040915,            0.050229,                   0,                   0,                   0,                   0,             0.12372,            0.049317,            0.051829,            0.090078,           0.0010782,           0.0010782
                   2,              0.1211,            0.036891,            0.048632,           0.0003409,            0.032222,          0.00023847,          9.9063e-05,             0.12104,            0.050731,            0.050126,            0.084633,           0.0016327,           0.0016327
                   3,             0.11749,            0.042335,            0.046159,          0.00088121,            0.062137,           0.0052322,           0.0013681,             0.11931,            0.051384,            0.048372,            0.079163,           0.0021634,           0.0021634
                   4,             0.11287,            0.039712,            0.045077,           0.0016579,             0.16103,            0.011889,           0.0022658,             0.11781,            0.052159,            0.045372,             0.07367,           0.0026703,           0.0026703
                   5,             0.10906,            0.040762,            0.041755,           0.0029542,             0.21641,            0.011593,            0.003454,             0.10956,            0.053577,            0.042714,            0.068154,           0.0031535,           0.0031535
                   6,              0.1066,            0.038062,            0.041446,            0.004402,             0.27215,            0.015176,           0.0040008,             0.10787,            0.052977,            0.040519,            0.062613,           0.0036129,           0.0036129
                   7,              0.1032,            0.039442,            0.039495,             0.21606,             0.11111,            0.032022,            0.006851,             0.10488,            0.052031,            0.037803,            0.057049,           0.0040486,           0.0040486
                   8,             0.10305,            0.044444,            0.037713,              0.2198,             0.13333,            0.040998,            0.010321,             0.10209,            0.050778,            0.036223,             0.05146,           0.0044605,           0.0044605
                   9,             0.10175,            0.039396,            0.034189,            0.052436,             0.15733,            0.037166,           0.0085436,             0.10361,            0.048844,             0.03519,            0.045849,           0.0048486,           0.0048486
                  10,            0.097294,            0.044373,            0.030259,             0.30141,             0.20495,            0.057795,            0.013938,             0.10419,            0.048786,            0.035145,            0.040213,            0.005213,            0.005213
                  11,            0.098617,            0.035122,            0.031146,            0.047526,             0.26372,            0.058879,            0.014567,             0.10153,            0.050562,            0.034257,            0.034554,           0.0055536,           0.0055536
                  12,            0.097088,            0.036779,            0.029657,            0.069372,              0.2584,            0.083757,            0.033168,             0.10167,            0.048066,            0.033575,             0.02887,           0.0058705,           0.0058705
                  13,            0.093909,            0.030027,            0.026646,             0.87483,            0.088889,             0.10533,            0.028974,            0.096612,            0.049778,            0.033558,            0.023164,           0.0061636,           0.0061636
                  14,            0.091359,            0.039445,            0.032034,              0.2609,              0.2811,            0.074388,            0.018453,             0.10509,            0.049103,            0.032819,            0.017433,           0.0064329,           0.0064329
                  15,             0.08805,            0.030855,            0.029792,             0.26086,             0.26968,            0.050209,             0.01014,             0.11421,            0.046342,            0.032811,            0.011678,           0.0066785,           0.0066785
                  16,            0.096391,            0.032728,            0.028842,             0.93208,             0.11111,             0.14975,            0.042039,            0.088254,            0.051883,            0.032843,            0.006832,            0.006832,            0.006832
                  17,            0.087953,            0.033026,            0.029623,              0.3081,             0.35834,             0.18742,            0.039724,            0.095739,            0.052625,             0.03203,            0.006832,            0.006832,            0.006832
                  18,            0.090736,             0.03248,            0.031271,             0.69741,              0.1994,             0.10296,            0.030384,             0.10416,            0.047048,            0.031639,            0.006634,            0.006634,            0.006634
                  19,            0.088989,              0.0363,            0.026856,             0.61785,             0.25761,             0.13075,            0.046265,             0.10053,            0.048051,             0.03115,            0.006436,            0.006436,            0.006436
                  20,            0.085517,            0.035411,            0.027078,             0.57494,             0.23682,             0.15522,            0.054429,            0.089251,            0.049865,            0.031335,            0.006238,            0.006238,            0.006238
                  21,            0.083846,             0.03592,            0.027875,              0.6051,             0.19196,             0.15356,             0.04869,            0.090828,            0.053284,            0.030811,             0.00604,             0.00604,             0.00604
                  22,            0.081935,            0.028624,            0.024944,             0.68424,             0.22647,             0.14696,            0.057988,            0.090401,             0.05025,            0.030726,            0.005842,            0.005842,            0.005842
                  23,            0.081394,            0.038093,            0.026309,             0.69706,             0.22851,             0.19497,            0.069393,            0.091485,            0.052877,             0.03053,            0.005644,            0.005644,            0.005644
                  24,            0.078576,             0.03145,            0.029377,             0.68457,             0.21836,             0.18213,            0.057877,             0.08606,            0.050583,            0.030778,            0.005446,            0.005446,            0.005446
                  25,            0.075077,            0.032809,            0.024342,             0.36859,             0.28572,             0.15464,            0.039134,            0.089286,            0.048756,            0.030617,            0.005248,            0.005248,            0.005248
