               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12799,            0.041115,            0.053306,                   0,                   0,                   0,                   0,             0.12869,            0.039094,            0.051349,              0.0955,              0.0005,              0.0005
                   1,             0.12634,            0.045171,            0.050611,           0.0003252,           0.0095238,          0.00028247,          0.00011299,             0.12337,            0.038245,            0.048583,            0.090073,           0.0010728,           0.0010728
                   2,             0.12167,            0.040426,             0.04904,          0.00076825,            0.028571,           0.0019962,          0.00058184,             0.11826,            0.037808,            0.045878,            0.084616,           0.0016158,           0.0016158
                   3,             0.11628,            0.040486,            0.045963,           0.0021336,             0.12024,            0.016675,           0.0053352,             0.11102,            0.039162,            0.042432,            0.079129,           0.0021292,           0.0021292
                   4,             0.11268,            0.046076,            0.045939,           0.0020815,             0.11429,             0.02209,           0.0063578,             0.10788,            0.039072,            0.039292,            0.073613,           0.0026129,           0.0026129
                   5,             0.11234,            0.041651,            0.042912,            0.014827,            0.066667,            0.020228,           0.0038474,             0.10969,            0.038228,            0.036749,            0.068067,           0.0030669,           0.0030669
                   6,             0.10727,            0.038457,            0.037958,             0.72673,           0.0095238,            0.026386,           0.0070851,             0.10432,            0.038719,            0.034346,            0.062491,           0.0034911,           0.0034911
                   7,             0.10538,            0.039824,            0.038264,             0.44654,            0.038095,            0.040612,           0.0096802,              0.1008,             0.03882,            0.032582,            0.056886,           0.0038857,           0.0038857
                   8,            0.099138,            0.038385,            0.034115,             0.64839,            0.085714,            0.046418,             0.01264,              0.1062,             0.03624,            0.031123,            0.051251,           0.0042506,           0.0042506
                   9,              0.1025,            0.034326,            0.033252,             0.66884,            0.057143,            0.058957,             0.01442,             0.10278,            0.036923,            0.030627,            0.045586,           0.0045858,           0.0045858
                  10,            0.099616,            0.052551,            0.034141,             0.67766,             0.07619,            0.059403,            0.013675,             0.10413,            0.037475,            0.030223,            0.039891,           0.0048912,           0.0048912
                  11,             0.10133,            0.041641,            0.033258,             0.64585,            0.095238,            0.049442,            0.018583,            0.098212,            0.040596,             0.03001,            0.034167,            0.005167,            0.005167
                  12,            0.096298,            0.055951,            0.033323,             0.71381,            0.074667,            0.075819,             0.02288,            0.094966,            0.045088,            0.030154,            0.028413,           0.0054131,           0.0054131
