               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068846,            0.032861,            0.026116,             0.48854,             0.40657,             0.32015,             0.14456,             0.06675,            0.031369,            0.025166,              0.0955,              0.0005,              0.0005
                   1,            0.067109,            0.033525,             0.02357,             0.50238,              0.4303,              0.3417,             0.14595,            0.066552,             0.03097,            0.025104,            0.090082,           0.0010819,           0.0010819
                   2,            0.067317,            0.034446,             0.02546,             0.50684,             0.43586,             0.34479,             0.14991,            0.066718,            0.030776,            0.025098,            0.084644,           0.0016439,           0.0016439
                   3,            0.067688,            0.033398,             0.02321,             0.50279,             0.40101,             0.33895,             0.14958,            0.067706,            0.029674,            0.025119,            0.079186,           0.0021861,           0.0021861
                   4,            0.068266,            0.030489,            0.025555,             0.46995,             0.39566,             0.33659,             0.13605,             0.07144,            0.028927,             0.02515,            0.073709,           0.0027086,           0.0027086
                   5,            0.069279,            0.031963,            0.025324,             0.54004,             0.34121,             0.34437,             0.12636,            0.072103,             0.02844,            0.025144,            0.068211,           0.0032113,           0.0032113
                   6,            0.070325,            0.033152,            0.027171,             0.50011,              0.3599,             0.32474,             0.11231,            0.071601,            0.028566,            0.025178,            0.062694,           0.0036941,           0.0036941
                   7,            0.068204,            0.029197,            0.025188,             0.46945,             0.39343,             0.29816,             0.11398,            0.073262,            0.029405,            0.025179,            0.057157,           0.0041572,           0.0041572
                   8,            0.073498,            0.032958,            0.025087,             0.49398,             0.37779,             0.30758,             0.11959,             0.07268,             0.02853,            0.025077,              0.0516,           0.0046004,           0.0046004
                   9,            0.076296,            0.028401,            0.023473,             0.45386,             0.36942,             0.29687,             0.12379,            0.076534,            0.027677,            0.025226,            0.046024,           0.0050238,           0.0050238
                  10,            0.074644,            0.033122,            0.025104,             0.37786,             0.38253,             0.29838,             0.11228,             0.07516,            0.027665,            0.025331,            0.040427,           0.0054275,           0.0054275
                  11,            0.073788,            0.028128,            0.024575,             0.43303,             0.34545,             0.26427,            0.093177,            0.074141,            0.027839,            0.025513,            0.034811,           0.0058113,           0.0058113
