               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12741,            0.051785,            0.051788,                   0,                   0,                   0,                   0,             0.12997,            0.038842,            0.054334,              0.0991,              0.0001,              0.0001
                   1,             0.12618,            0.046343,            0.052697,                   0,                   0,                   0,                   0,             0.12866,            0.037986,            0.053815,              0.0973,           0.0002995,           0.0002995
                   2,             0.12618,            0.042004,            0.051755,                   0,                   0,                   0,                   0,             0.12653,             0.03725,            0.052811,            0.095498,          0.00049835,          0.00049835
                   3,             0.12386,            0.043281,            0.050748,          0.00070053,            0.018182,          0.00039155,          0.00011747,             0.12381,            0.036959,            0.051372,            0.093697,          0.00069653,          0.00069653
                   4,             0.12121,            0.043932,            0.049655,           0.0008982,            0.027273,          0.00061529,          9.7218e-05,             0.12064,            0.036628,            0.049663,            0.091894,          0.00089406,          0.00089406
                   5,             0.11881,            0.039424,            0.047941,           0.0010243,            0.036364,            0.001767,          0.00044496,              0.1186,            0.036391,            0.047634,            0.090091,           0.0010909,           0.0010909
                   6,             0.11438,            0.041878,            0.047491,          0.00097919,            0.036364,           0.0014436,          0.00041357,             0.11775,             0.03628,            0.046563,            0.088287,           0.0012871,           0.0012871
                   7,             0.11593,            0.044813,            0.046085,           0.0016978,            0.080101,           0.0068467,          0.00094842,             0.11325,            0.036354,            0.044619,            0.086483,           0.0014827,           0.0014827
                   8,             0.11203,            0.044712,            0.044812,           0.0023094,             0.10808,            0.021041,           0.0049996,             0.11335,             0.03596,            0.042465,            0.084678,           0.0016776,           0.0016776
                   9,             0.10928,            0.049189,            0.043629,           0.0036329,             0.18869,             0.03266,           0.0095767,             0.10898,            0.036544,            0.040464,            0.082872,           0.0018718,           0.0018718
                  10,             0.10519,            0.040711,            0.041872,           0.0030802,             0.15182,             0.04534,            0.010164,              0.1064,            0.036609,            0.038554,            0.081065,           0.0020654,           0.0020654
                  11,             0.10769,             0.03488,            0.039299,           0.0045903,             0.23182,            0.012323,           0.0024331,              0.1052,            0.036633,            0.036916,            0.079258,           0.0022583,           0.0022583
                  12,             0.10065,            0.041955,            0.038402,           0.0059302,              0.1796,            0.013441,           0.0044288,             0.10374,            0.036679,            0.035393,            0.077451,           0.0024505,           0.0024505
                  13,             0.10125,            0.041453,             0.03604,             0.64286,            0.036364,            0.019382,           0.0066442,             0.10306,            0.036216,            0.034177,            0.075642,           0.0026421,           0.0026421
                  14,             0.10219,            0.042298,            0.036639,              0.6397,            0.036364,            0.022598,           0.0081798,             0.10074,            0.036343,            0.033299,            0.073833,            0.002833,            0.002833
                  15,            0.098047,             0.04161,            0.035103,             0.63014,            0.045455,            0.026731,            0.011198,              0.1004,            0.036512,              0.0326,            0.072023,           0.0030233,           0.0030233
                  16,            0.095389,            0.041539,             0.03324,             0.65188,            0.054545,            0.048693,            0.013684,             0.10146,            0.037414,            0.031961,            0.070213,           0.0032129,           0.0032129
                  17,            0.097878,            0.046225,             0.03361,             0.64905,            0.054545,            0.056446,            0.021775,            0.097618,            0.040579,             0.03156,            0.068402,           0.0034018,           0.0034018
                  18,            0.094135,            0.043623,            0.032165,             0.92575,            0.036364,             0.06847,            0.028805,            0.097728,             0.04475,            0.031521,             0.06659,           0.0035901,           0.0035901
                  19,            0.090444,            0.047494,            0.032555,            0.064074,             0.24354,            0.067977,            0.021107,            0.097169,            0.050304,            0.031316,            0.064778,           0.0037777,           0.0037777
                  20,            0.095164,            0.036872,            0.032019,            0.035075,             0.21172,            0.063274,            0.022157,            0.096301,            0.049202,            0.031026,            0.062965,           0.0039647,           0.0039647
                  21,            0.093808,            0.036873,            0.030455,            0.078005,             0.25818,             0.10907,            0.034038,            0.094973,            0.047082,            0.030235,            0.061151,            0.004151,            0.004151
                  22,            0.089607,            0.034976,            0.031868,             0.27194,             0.31072,            0.084738,            0.028729,            0.095997,            0.043954,            0.029672,            0.059337,           0.0043367,           0.0043367
                  23,            0.090778,            0.045828,             0.03204,             0.28866,             0.33768,             0.12915,            0.049258,            0.093335,            0.050008,            0.029326,            0.057522,           0.0045216,           0.0045216
                  24,            0.086614,            0.036801,            0.029416,             0.90188,            0.072727,             0.13567,            0.048639,            0.097988,            0.046986,            0.028927,            0.055706,            0.004706,            0.004706
                  25,            0.089851,            0.039696,            0.030368,             0.32354,             0.27616,             0.14434,            0.044935,             0.10019,            0.045535,            0.028937,             0.05389,           0.0048896,           0.0048896
                  26,            0.086493,            0.037463,            0.028323,             0.79306,            0.092929,             0.12163,            0.042357,            0.097069,            0.046842,            0.028883,            0.052073,           0.0050726,           0.0050726
                  27,            0.085109,            0.038985,            0.027587,             0.29367,             0.29414,             0.12159,            0.049272,            0.092636,            0.047887,            0.028463,            0.050255,            0.005255,            0.005255
                  28,            0.090573,            0.031767,            0.028348,             0.28197,             0.26798,             0.12068,            0.050822,            0.092504,            0.044306,            0.028314,            0.048437,           0.0054367,           0.0054367
                  29,            0.087544,             0.03544,            0.026265,             0.29616,             0.34394,              0.1396,            0.043269,            0.089934,             0.04485,            0.028278,            0.046618,           0.0056177,           0.0056177
                  30,            0.088146,            0.037363,            0.029723,             0.29034,             0.34394,             0.14267,            0.059615,             0.09065,            0.050349,            0.028217,            0.044798,            0.005798,            0.005798
                  31,            0.084583,            0.031239,            0.027156,             0.26859,             0.25198,            0.089741,            0.024616,              0.0946,             0.04415,            0.027685,            0.042978,           0.0059778,           0.0059778
                  32,            0.084699,            0.035143,            0.027114,             0.33554,             0.30192,             0.16778,            0.058277,            0.091096,            0.048194,            0.027636,            0.041157,           0.0061568,           0.0061568
                  33,            0.087504,            0.029342,            0.023697,             0.27061,             0.23657,             0.13554,            0.053834,            0.098091,            0.040957,            0.027542,            0.039335,           0.0063352,           0.0063352
                  34,            0.084013,            0.033311,            0.026136,             0.75003,             0.11515,             0.15233,            0.065665,            0.098542,            0.040818,            0.027727,            0.037513,           0.0065129,           0.0065129
                  35,            0.085067,            0.032604,            0.026595,             0.29917,             0.28686,              0.1065,            0.031444,             0.10301,            0.037227,            0.027721,             0.03569,             0.00669,             0.00669
                  36,            0.083083,            0.036012,            0.027956,             0.31796,             0.28949,             0.14194,            0.046813,            0.097896,            0.039015,            0.027859,            0.033866,           0.0068664,           0.0068664
                  37,            0.082422,            0.031625,            0.025581,              0.2826,             0.31121,             0.15627,            0.061677,            0.096771,            0.035689,            0.027625,            0.032042,           0.0070421,           0.0070421
                  38,            0.080986,            0.033024,            0.025671,             0.82221,            0.080303,             0.12205,            0.038975,            0.094095,             0.03619,            0.027244,            0.030217,           0.0072172,           0.0072172
                  39,            0.080692,            0.028178,            0.023663,             0.34858,             0.28616,             0.17851,            0.066446,             0.09051,            0.033627,            0.027305,            0.028392,           0.0073916,           0.0073916
                  40,            0.079982,            0.033568,            0.023147,              0.2974,             0.27283,             0.13432,             0.04193,            0.083749,            0.039123,            0.027242,            0.026565,           0.0075654,           0.0075654
                  41,            0.079796,            0.028269,            0.024249,              0.3992,             0.28525,             0.16584,            0.058663,            0.087026,             0.03166,            0.026921,            0.024739,           0.0077385,           0.0077385
                  42,            0.081954,            0.031142,            0.023633,             0.33858,             0.30218,             0.17437,            0.052809,            0.087906,            0.034411,            0.026817,            0.022911,           0.0079109,           0.0079109
                  43,            0.083996,            0.030816,            0.024547,             0.33642,             0.27727,             0.15958,            0.057542,            0.088243,            0.033323,            0.026719,            0.021083,           0.0080827,           0.0080827
                  44,            0.081789,            0.030646,            0.024265,             0.33466,             0.31858,             0.18072,            0.060444,             0.08342,            0.033229,             0.02713,            0.019254,           0.0082539,           0.0082539
                  45,            0.080868,            0.034053,            0.024627,             0.41675,             0.30152,             0.20131,            0.072248,            0.084108,            0.034307,            0.027439,            0.017424,           0.0084243,           0.0084243
                  46,            0.079097,            0.029697,            0.024651,              0.3722,             0.32394,             0.19811,            0.072652,            0.085445,            0.033569,            0.027672,            0.015594,           0.0085941,           0.0085941
                  47,            0.078952,            0.033037,            0.024175,             0.32181,             0.35727,             0.12012,            0.045455,             0.08952,            0.033791,            0.027262,            0.013763,           0.0087633,           0.0087633
                  48,            0.077203,            0.032549,            0.025375,              0.3199,              0.3397,             0.13286,            0.042728,            0.092106,            0.054982,            0.028012,            0.011932,           0.0089318,           0.0089318
                  49,            0.077016,            0.036154,            0.024175,             0.32313,             0.34949,             0.14533,            0.052197,            0.089997,            0.036084,            0.028332,              0.0101,           0.0090996,           0.0090996
                  50,            0.078557,            0.024792,            0.022958,              0.3332,             0.32757,             0.14967,            0.055314,             0.08781,            0.031126,            0.027493,            0.009175,            0.009175,            0.009175
                  51,            0.075873,            0.031099,            0.023886,             0.34419,             0.36879,             0.16544,            0.063608,            0.089073,            0.030332,            0.028366,            0.009175,            0.009175,            0.009175
                  52,            0.074121,             0.02649,            0.022898,             0.32552,             0.37929,             0.15056,            0.051936,            0.084334,             0.03272,            0.027276,           0.0091585,           0.0091585,           0.0091585
                  53,             0.07572,            0.032162,            0.023079,             0.32581,              0.3097,             0.13783,            0.044874,            0.090787,            0.039261,            0.028847,            0.009142,            0.009142,            0.009142
                  54,            0.075552,            0.031794,            0.021436,             0.39617,             0.32212,             0.20427,            0.070254,              0.0854,            0.038117,            0.027663,           0.0091255,           0.0091255,           0.0091255
                  55,            0.072967,            0.027605,             0.02115,             0.41879,             0.41545,             0.24231,            0.076171,            0.083768,             0.02972,            0.027497,            0.009109,            0.009109,            0.009109
                  56,            0.073339,            0.032669,            0.022213,             0.48269,             0.36964,             0.26608,            0.078784,            0.075754,            0.035836,            0.027152,           0.0090925,           0.0090925,           0.0090925
                  57,              0.0724,            0.025846,            0.020958,             0.38941,             0.42636,             0.22592,            0.080737,            0.084426,            0.029627,            0.028853,            0.009076,            0.009076,            0.009076
                  58,             0.07144,            0.027566,            0.021461,             0.36278,             0.40086,             0.22189,              0.0819,            0.082908,            0.029719,            0.026967,           0.0090595,           0.0090595,           0.0090595
                  59,            0.073281,            0.031118,            0.021951,             0.46063,             0.39357,             0.28966,             0.10213,            0.080828,            0.030589,            0.025836,            0.009043,            0.009043,            0.009043
                  60,            0.070408,            0.023667,            0.020561,             0.42594,             0.40494,             0.28064,             0.10222,            0.076789,            0.029529,            0.026073,           0.0090265,           0.0090265,           0.0090265
                  61,            0.071477,            0.031506,            0.023241,             0.44084,             0.31949,             0.25055,            0.085197,            0.079052,            0.030464,            0.026285,             0.00901,             0.00901,             0.00901
                  62,            0.069152,            0.022442,            0.020478,             0.45944,             0.38356,             0.25972,            0.093195,            0.079899,            0.032193,            0.027323,           0.0089935,           0.0089935,           0.0089935
                  63,            0.067377,             0.02773,            0.021137,             0.41827,             0.47141,             0.26238,             0.10644,            0.082506,            0.033658,            0.027169,            0.008977,            0.008977,            0.008977
                  64,            0.069892,            0.027404,            0.021403,             0.50288,             0.37394,             0.32428,             0.12332,            0.078072,            0.034192,            0.027518,           0.0089605,           0.0089605,           0.0089605
                  65,             0.06931,            0.028526,            0.021299,             0.45704,             0.38456,             0.25819,            0.088702,            0.081263,            0.034116,            0.027027,            0.008944,            0.008944,            0.008944
